at_id,name,degree
55792838600,Chalisa Louicharoen Cheepsunthorn,NA
58136783100,Jantakan Laokitpanich,NA
8863294400,Twittie Senivongse,NA
57202195374,Jin Cao,NA
57202216791,Dongdong Zhang,NA
57220093082,Yilei Yue,NA
26429121100,Rungroj Chanajaree,NA
33167869100,Shanmin Wang,NA
13009046200,Jiantao Han,NA
58068423900,Xinyu Zhang,NA
18936731800,Jiaqian Qin,NA
57878912600,Yunhui Huang,NA
57604868000,Worakan Chutakool,NA
35311934100,Thanit Praneenararat,NA
56372515200,Anthony Berdeu,NA
56102896400,Maud Langlois,NA
6507110413,Frédéric Vachier,NA
57222011719,Nontawat Ploysongsri,NA
57220876250,Monrada Petchmark,NA
37061059500,Benjawan Kaewruksa,NA
6602583399,Vithaya Ruangpornvisuti,NA
53864676400,Piyaphong Chenrai,NA
57192809939,Thitiphan Assawincharoenkij,NA
57215666273,Sukonmeth Jitmahantakul,NA
57217090085,Patthapong Chaiseanwang,NA
57217383529,Fernando Ureña-Mena,NA
57204538862,Alberto Carramiñana,NA
6602610410,Anna Lia Longinotti,NA
56000769100,Daniel Rosa-González,NA
54779311100,Abeysekara,NA
56382023100,Albert,NA
55993713400,Alfaro,NA
57196545477,Alvarez,NA
57202106534,Álvarez,NA
57214241380,Angeles Camacho,NA
55925600300,Arteaga-Velázquez,NA
55798013200,Arunbabu,NA
57197718285,Avila Rojas,NA
55925380800,Ayala Solares,NA
57226852841,Babu,NA
56497872700,Baghmanyan,NA
55926096800,Barber,NA
26639072500,Becerra Gonzalez,NA
55989701400,Belmont-Moreno,NA
58085592600,BenZvi,NA
57225132939,Berley,NA
57194315581,Brisbois,NA
35277083500,Caballero-Mora,NA
57076904800,Capistrán,NA
22833640200,Casanova,NA
57218203187,Chaparro-Amaro,NA
35276947400,Cotti,NA
56013624800,Cotzomi,NA
57194564160,Coutiño de León,NA
7004605618,De la Fuente,NA
24775733800,de León,NA
57217384273,Diaz-Cruz,NA
36442315100,Diaz Hernandez,NA
57203514047,Díaz-Vélez,NA
35313328300,Dingus,NA
57191038940,Durocher,NA
6701535156,DuVernois,NA
7006640160,Ellsworth,NA
57194569538,Engel,NA
12784739800,Espinoza,NA
57641700000,Fan,NA
55200607700,Fang,NA
57191861188,Fernández Alonso,NA
6602912733,Fick,NA
57986234800,Fleischhack,NA
55993771700,Flores,NA
56013638200,Fraija,NA
57214242899,Garcia,NA
55228626600,García-González,NA
12446363300,García-Luna,NA
10038795600,García-Torales,NA
55925887700,Garfias,NA
35768929800,Giacinti,NA
57226852674,Goksu,NA
55872399400,González,NA
14030136500,Goodman,NA
35724351600,Harding,NA
57206353550,Hernandez,NA
57226850818,Herzog,NA
8925909600,Hinton,NA
57194566233,Hona,NA
16303458500,Huang,NA
25229045500,Hueyotl-Zahuantitla,NA
23479999900,Hui,NA
57202519148,Humensky,NA
6603442871,Hüntemeyer,NA
57188667418,Iriarte,NA
57193120130,Jardin-Blicq,NA
57226849951,Jhee,NA
57201620295,Joshi,NA
35227534200,Kieda,NA
7004126797,Kunde,NA
53865219900,Kunwar,NA
7006634099,Lara,NA
56397629800,Lee,NA
7407086946,Lee,NA
26638786500,Lennarz,NA
35221795900,León Vargas,NA
57202421498,Linnemann,NA
55014262900,López-Coto,NA
57211720356,Luis-Raya,NA
57205281612,Lundeen,NA
57216482600,Malone,NA
57201641566,Marandon,NA
57194579109,Martinez,NA
57194569612,Martinez-Castellanos,NA
57192255088,Martínez-Huerta,NA
55020624500,Martínez-Castro,NA
57221034370,Matthews,NA
35230627000,McEnery,NA
26868031900,Miranda-Romagnoli,NA
57211031249,Morales-Soto,NA
57220731910,Moreno,NA
15081297500,Mostafá,NA
57194623942,Nayerhoda,NA
6506907314,Nellen,NA
12807176700,Newbold,NA
57194575355,Nisa,NA
56002664000,Noriega-Papaqui,NA
57219790972,Olivera-Nieto,NA
13102929200,Omodei,NA
57211029939,Peisker,NA
57219767121,Pérez Araujo,NA
55262555300,Pérez-Pérez,NA
57194577088,Rho,NA
35277563800,Rivière,NA
56418689500,Ruiz-Velasco,NA
57203732444,Ryan,NA
55106650100,Salazar,NA
25959318500,Salesa Greus,NA
55340944700,Sandoval,NA
57221842061,Schneider,NA
26538095200,Schoorlemmer,NA
57219763275,Serna-Franco,NA
8630676300,Sinnis,NA
57214307732,Smith,NA
7005105129,Springer,NA
57194565193,Surajbali,NA
35238956600,Taboada,NA
57211034868,Tanner,NA
57203178502,Tollefson,NA
24172312600,Torres,NA
57214247094,Torres-Escobedo,NA
57222017488,Turner,NA
57191473117,Villaseñor,NA
57224853000,Wang,NA
7102030607,Watson,NA
35106320700,Weisgarber,NA
36849796800,Werner,NA
57219785623,Willox,NA
22936048700,Wood,NA
57218362473,Yodh,NA
56013549500,Zepeda,NA
57879371300,Zhou,NA
57190045351,Nonthalert Lertnitikul,NA
12768411300,Jatupol Liangsakul,NA
6506508925,Suree Jianmongkol,NA
6602339832,Rutt Suttisri,NA
57196347321,Anchalee Avihingsanon,NA
57203424139,Michael D. Hughes,NA
7004523736,Robert Salata,NA
14064866500,Catherine Godfrey,NA
57777367800,Caitlyn McCarthy,NA
6603691631,Peter Mugyenyi,NA
23008686100,Evelyn Hogg,NA
57203503067,Robert Gross,NA
36464815500,Sandra W. Cardoso,NA
57203319871,Aggrey Bukuru,NA
57193848944,Mumbi Makanga,NA
57776919000,Sharlaa Badal-aesen,NA
24778446900,Vidya Mave,NA
57210829505,Beatrice Wangari Ndege,NA
16401321100,Sandy Nerette Fontain,NA
55347050100,Wadzanai Samaneka,NA
51764506200,Rode Secours,NA
55540331300,Marije Van Schalkwyk,NA
36614528400,Rosie Mngqibisa,NA
24734526800,Lerato Mohapi,NA
57207777975,Javier Valencia,NA
55554342000,Patcharaphan Sugandhavesa,NA
35079035600,Esmelda Montalban,NA
57776470300,Cornelius Munyanga,NA
8650506000,Maganizo Chagomerana,NA
7006476981,Breno R. Santos,NA
7003549856,Nagalingeswaran Kumarasamy,NA
15519028300,Cecilia Kanyama,NA
56876786500,Robert T. Schooley,NA
7007008426,John W. Mellors,NA
15728896300,Carole L. Wallis,NA
57197006360,Ann C. Collier,NA
6603296078,Beatriz Grinsztejn,NA
57430316600,Zar Ni Win,NA
6506845858,Puree Anantachoti,NA
36081315700,Decho Surangsrirat,NA
57216704264,Panyawut Sri-iesaranusorn,NA
57216702662,Attawit Chaiyaroj,NA
24829867400,Peerapon Vateekul,NA
55882458500,Roongroj Bhidayasiri,NA
57195424051,Nji T. Ndeh,NA
57209342274,Yacob T. Tesfaldet,NA
57300731800,Jariya Budnard,NA
57216499193,Pavadee Chuaicharoen,NA
15219320300,Sarawuth Chaimool,NA
48461845000,Chawalit Rakluea,NA
57209140891,Pubet Sangmahamad,NA
35202627700,Yan Zhao,NA
