city_id,city,country,citation_sum,p_count,lat,lon,population,gdp_per_capita,time_zone,safety_index
3259,Walnut,United States,6,1,34.0202894,-117.8653386,,,,
3260,Ada,United States,6,1,38.8398935,-83.5051704,,,,
3261,Hove,United Kingdom,45,1,50.8286917,-0.1745744,,,,
3262,Falmouth,United States,70,2,41.5514979,-70.6147519,,,,
3263,Sunspot,United States,16,1,32.7892103,-105.81857,,,,
3264,Mount Hamilton,United States,16,1,37.3418834,-121.6430017,,,,
3265,Laxenburg,Austria,281,2,48.0686831,16.3561206,,,,
3266,Nakhompathon,Thailand,9,1,14.8971921,100.83273,,,,
3267,Tenri,Japan,6,1,34.5965738,135.8373696,,,,
3268,Meru,Kenya,6,1,0.2254509,37.77726237163694,,,,
3269,Damaturu Yobe State,Nigeria,6,1,9.6000359,7.9999721,,,,
3270,Yilan,Taiwan,0,1,24.7519538,121.7533344,,,,
3271,Daito,Japan,26,1,34.7120151,135.6235341,,,,
3272,Tours,France,118,1,47.3900474,0.6889268,,,,
3273,Roche sur Yon,France,118,1,46.6705431,-1.4269698,,,,
3274,Mie,Japan,1,1,34.7339685,136.5154489,,,,
3275,Fukui,Japan,17,1,35.9263502,136.6068127,,,,
3276,Chon Buri,Thailand,13,1,13.1857117,101.1210777,,,,
3277,Iloilo,Philippines,12,1,10.9522168,122.5799456,,,,
3278,Arhus,Denmark,102,1,56.1496278,10.2134046,,,,
3279,Meldola,Italy,177,1,44.1267212,12.0611527,,,,
3280,Ikeja,Nigeria,2,1,6.5960605,3.340787,,,,
3281,Bendigo,Australia,11,1,-36.7590183,144.2826718,,,,
3282,Bo,Sierra Leone,9,1,7.962065,-11.73665,,,,
3283,Hoddesdon,United Kingdom,25,1,51.7616709,-0.0112898,,,,
3284,Noordwijk aan Zee,Netherlands,121,1,52.2484451,4.4344787,,,,
3285,Thanh Xuan,Viet Nam,30,1,20.9944171,105.8171316,,,,
3286,Bad Oeynhausen,Germany,47,1,52.2014399,8.7981244,,,,
3287,Sisal,Mexico,8,1,21.1651801,-90.0311303,,,,
3288,"Yangon, Myanmar",Myanmar,1,1,16.8518596,96.1292247,,,,
3289,Zaandam,Netherlands,17,1,52.4424926,4.8298607,,,,
3290,Waigani,Papua New Guinea,0,1,-9.4171055,147.1807853,,,,
3291,Grand Junction,United States,16,1,39.0672568,-108.56448,,,,
3292,Alcorcon,Spain,185,1,40.3492998,-3.8284295,,,,
3293,Ciudad de México,Mexico,185,1,19.4326296,-99.1331785,,,,
3294,Zlin,Czech Republic,5,1,49.226766,17.6667415,,,,
3295,Tando Adam,Pakistan,19,1,25.7620954,68.6578079,,,,
