af_id,name,organization,country,city
60025641,University of Freiburg,"Institute of Earth and Environmental Sciences, University of Freiburg",Germany,Freiburg
60005255,Rajavithi Hospital,"Center of Excellence in Otolaryngology, Head and Neck Surgery, Rajavithi Hospital",Thailand,Bangkok
60023366,Rangsit University,"College of Medicine, Rangsit University",Thailand,Bangkok
60112689,Hue University,"Department of Otolaryngology, Hue University of Medicine and Pharmacy, Hue University",Viet Nam,Hue
60017165,Khon Kaen University,"Biomedical Sciences Program, Graduate School, Khon Kaen University",Thailand,Khon Kaen
60026046,Khon Kaen University,"Department of Physiology, Faculty of Medicine, Khon Kaen University",Thailand,Khon Kaen
60000316,Srinakharinwirot University,"Faculty of Environmental Culture and Ecotourism, Srinakharinwirot University",Thailand,Bangkok
124520688,Phranakhon Rajabhat University,"Department of Applied Thai Traditional Medicine, Faculty of Science and Technology, Phranakhon Rajabhat University",Thailand,Bangkok
60091507,Chulalongkorn University,"Metallurgy and Materials Science Research Institute, Chulalongkorn University",Thailand,Bangkok
60018465,Yanshan University,"State Key Laboratory of Metastable Materials Science and Technology, Yanshan University",China,Qinhuangdao
60105683,Southern University of Science and Technology,"Department of Physics, Southern University of Science and Technology",China,Shenzhen
60025761,Huazhong University of Science and Technology,"State Key Laboratory of Material Processing and Die & Mould Technology, School of Materials Science and Engineering, Huazhong University of Science and Technology",China,Wuhan
60274668,National Astronomical Research Institute of Thailand,National Astronomical Research Institute of Thailand,Thailand,Chiang Mai
60005667,Centre de Recherche Astrophysique de Lyon UMR 5574,"Université de Lyon, Université Lyon1, ENS de Lyon, CNRS, Centre de Recherche Astrophysique de Lyon UMR 5574",France,Saint-Genis-Laval
60003674,Sorbonne Université,"Institut de Mécanique Céleste et de Calcul des Ephémérides, CNRS, Observatoire de Paris, PSL Université, Sorbonne Université",France,Paris
60030699,Óptica y Electrónica (INAOE),"Instituto Nacional de Astrofísica, Óptica y Electrónica (INAOE)",Mexico,Puebla
60032442,Universidad Nacional Autónoma de México (IA-UNAM),"Instituto de Astronomía, Universidad Nacional Autónoma de México (IA-UNAM)",Mexico,Ciudad de México
60019176,Instituto Politécnico Nacional,"Centro de Investigación en Computación, Instituto Politécnico Nacional",Mexico,Ciudad de México
60017323,Centro de Investigación y de Estudios Avanzados del IPN,"Physics Department, Centro de Investigación y de Estudios Avanzados del IPN",Mexico,Ciudad de México
60000765,Friedrich Alexander Universität,"Erlangen Centre for Astroparticle Physics, Friedrich Alexander Universität",Germany,Erlangen
60024830,Benemérita Universidad Autónoma de Puebla,"Facultad de Ciencias Físico Matemáticas, Benemérita Universidad Autónoma de Puebla",Mexico,Puebla
60019647,Georgia Institute of Technology,"School of Physics, Center for Relativistic Astrophysics, Georgia Institute of Technology",United States,Atlanta
60006337,NASA Goddard Space Flight Center,NASA Goddard Space Flight Center,United States,Greenbelt
60007179,Universidad Nacional Autónoma de México,"Instituto de Ciencias Nucleares, Universidad Nacional Autónoma de México",Mexico,Ciudad de México
60027337,Polish Academy of Sciences,"Institute of Nuclear Physics, Polish Academy of Sciences",Poland,Krakow
60110942,INFN Padova,INFN Padova,Italy,Padova
60007966,Escuela de Ingeniería y Ciencias,"Tecnologico de Monterrey, Escuela de Ingeniería y Ciencias",Mexico,Monterrey
60006164,Los Alamos National Laboratory,"Physics Division, Los Alamos National Laboratory",United States,Los Alamos
60012804,Max-Planck Institute for Nuclear Physics,Max-Planck Institute for Nuclear Physics,Germany,Heidelberg
60011779,Astrophysics Office,"NASA Marshall Space Flight Center, Astrophysics Office",United States,Huntsville
60031707,Michigan State University,"Department of Physics and Astronomy, Michigan State University",United States,East Lansing
60016536,Michigan Technological University,"Department of Physics, Michigan Technological University",United States,Houghton
60027576,University of New Hampshire,"Space Science Center, University of New Hampshire",United States,Durham
60148067,Pennsylvania State University,"Department of Physics, Pennsylvania State University",United States,University Park
60027165,University of Rochester,"Department of Physics and Astronomy, University of Rochester",United States,Rochester
60025084,Shanghai Jiao Tong University,"Tsung-Dao Lee Institute, School of Physics and Astronomy, Shanghai Jiao Tong University",China,Shanghai
60012708,Stanford University,Stanford University,United States,Stanford
60027135,Universidad Autónoma del Estado de Hidalgo,Universidad Autónoma del Estado de Hidalgo,Mexico,Pachuca
60007278,Irvine,"Department of Physics and Astronomy, University of California, Irvine",United States,Irvine
60011167,Universidad de Monterrey,"Department of Physics and Mathematics, Universidad de Monterrey",Mexico,San Pedro Garza García
60020304,University of Maryland,"Department of Physics, University of Maryland",United States,College Park
60032816,Universidad Michoacana de San Nicolás de Hidalgo,"Instituto de Física y Matemáticas, Universidad Michoacana de San Nicolás de Hidalgo",Mexico,Morelia
60016888,Universidad Autónoma de Chiapas,"FCFM-MCTP, Universidad Autónoma de Chiapas",Mexico,Tuxtla Gutiérrez
60033021,University of New Mexico,"Department of Physics and Astronomy, University of New Mexico",United States,Albuquerque
60027652,University of Seoul,University of Seoul,South Korea,Seoul
100465802,Universidad Politécnica de Pachuca,Universidad Politécnica de Pachuca,Mexico,Pachuca
60032179,University of Wisconsin-Madison,"Department of Physics, University of Wisconsin-Madison",United States,Madison
60008943,Universidad de Guadalajara,"CUCEI, CUCEA, Universidad de Guadalajara",Mexico,Guadalajara
60025488,University of Utah,"Department of Physics and Astronomy, University of Utah",United States,Salt Lake City
60020444,Catholic University of America,"Department of Physics, Catholic University of America",United States,Washington
60002644,Universitat de València,"Instituto de Física Corpuscular, CSIC, Universitat de València",Spain,Paterna
60005478,Harvard T H Chan School of Public Health,"Center for Biostatistics in AIDS Research in the Department of Biostatistics, Harvard T H Chan School of Public Health",United States,Boston
60000305,Case Western Reserve University,Case Western Reserve University,United States,Cleveland
60017336,National Institutes of Health,"Division of AIDS, National Institutes of Allergy and Infectious Disease, National Institutes of Health",United States,Bethesda
60071691,Joint Clinical Research Center,Joint Clinical Research Center,Uganda,Kampala
60082111,a DLH Holdings Company,"Social & Scientific Systems, Inc., a DLH Holdings Company",United States,Silver Spring
60006297,University of Pennsylvania,"Center for Clinical Epidemiology and Biostatistics, University of Pennsylvania",United States,Philadelphia
60023997,Fundacao Oswaldo Cruz,"Instituto Nacional de Infectologia Evandro Chagas, Fundacao Oswaldo Cruz",Brazil,Rio de Janeiro
60070343,Kenya Medical Research Institute/Center of Disease Control,Kenya Medical Research Institute/Center of Disease Control,Kenya,Kisumu
60016218,University of Witwatersrand,"Clinical HIV Research Unit, Helen Joseph Hospital, University of Witwatersrand",South Africa,Johannesburg
60011543,BJ Medical College Clinical Research Site,BJ Medical College Clinical Research Site,India,Pune
60039289,Moi University Clinical Research Center (MUCRC) CRS,Moi University Clinical Research Center (MUCRC) CRS,Kenya,Eldoret
60264378,Les Centres GHESKIO Clinical Research Site,Les Centres GHESKIO Clinical Research Site,Haiti,Port-au-Prince
60033774,University of Zimbabwe Clinical Trials Research Centre,University of Zimbabwe Clinical Trials Research Centre,Zimbabwe,Harare
60001565,Stellenbosch University,"Family Centre for Research with Ubuntu (FAMCRU), Stellenbosch University",South Africa,Cape Town
115235325,Enhancing Care Foundation,"Durban International Clinical Research Site, King Edward Hospital, Enhancing Care Foundation",South Africa,Durban
123102069,Barranco Clinical Research Site,Barranco Clinical Research Site,Peru,Lima
60000881,Chiang Mai University,"Research Institute for Health Sciences, Chiang Mai University",Thailand,Chiang Mai
123101819,San Miguel Clinical Research Site,San Miguel Clinical Research Site,Peru,Lima
60072681,Kamazu Central Hospital,"University of North Carolina Project, Kamazu Central Hospital",Malawi,Lilongwe
